SensorTemp,NucleoTemp,Time
64.625,-9.547169,1.000067
64.625,-9.547169,2.000133
64.73751,-9.849056,3.000217
64.625,-9.245281,4.000283
64.73751,-9.547169,5.000367
64.625,-9.849056,6.000433
64.625,-9.849056,7.0005
64.85,-9.547169,8.000566
64.9625,-9.547169,9.00065
65.075,-9.245281,10.00072
64.85,-9.849056,11.00078
64.9625,-9.245281,12.00087
64.85,-9.245281,13.00093
64.85,-9.245281,14.001
64.85,-9.547169,15.00107
64.9625,-9.245281,16.00115
64.9625,-9.547169,17.00123
65.075,-9.245281,18.0013
64.9625,-9.245281,19.00138
64.9625,-9.245281,20.00147
65.075,-9.245281,21.00153
65.075,-9.547169,22.0016
65.3,-9.245281,23.00167
65.075,-9.245281,24.00173
65.075,-9.245281,25.0018
65.075,-9.245281,26.00187
65.1875,-9.245281,27.00195
65.075,-9.245281,28.00202
63.95,-9.849056,29.00208
63.05,-9.849056,30.00215
62.6,-10.15094,31.00222
62.2625,-10.15094,32.0023
61.925,-10.15094,33.00238
62.0375,-10.75472,34.00247
62.0375,-10.45283,35.00255
61.925,-10.75472,36.00262
61.8125,-11.0566,37.00268
61.925,-11.0566,38.00275
61.8125,-11.0566,39.00282
61.7,-11.35849,40.00288
61.7,-11.0566,41.00295
61.5875,-11.35849,42.00304
61.3625,-11.0566,43.0031
61.25,-11.0566,44.00317
61.3625,-11.35849,45.00325
61.25,-11.35849,46.00332
61.3625,-11.35849,47.0034
61.25,-11.66038,48.00347
61.3625,-11.35849,49.00355
61.3625,-11.35849,50.00363
61.3625,-11.0566,51.0037
61.25,-11.0566,52.00377
61.3625,-11.66038,53.00385
61.25,-11.66038,54.00392
61.475,-11.0566,55.00398
61.3625,-11.66038,56.00407
61.25,-11.35849,57.00414
61.25,-11.0566,58.0042
61.25,-11.0566,59.00426
61.3625,-11.0566,60.00433
61.25,-11.35849,61.0044
61.1375,-11.35849,62.00449
61.25,-11.35849,63.00455
61.1375,-11.35849,64.00463
61.025,-11.66038,65.00472
60.575,-11.66038,66.00479
60.575,-11.35849,67.00485
61.025,-11.35849,68.00491
61.25,-11.35849,69.00498
61.5875,-11.35849,70.00507
61.8125,-11.0566,71.00513
